LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
1048.380952	-83.620952	-312.204762	27.464286	-5.016952	59.361429	1038.628571	4.602952	-285.923810	-10.945810	-7.931619	-64.602381	883.790476	722.238095	-170.871429	14.554286	-9.732476	-33.878190	946.119048	-757.480952	-196.475714	26.114190	8.538762	27.657143	0.016964	88.700000
1065.047619	-82.383810	-306.547619	29.177619	-4.892619	62.375238	1046.666667	12.159667	-293.942857	-10.406000	-9.584810	-67.897143	829.980952	629.200000	-249.909524	12.262857	-10.481810	-46.810571	909.857143	-710.176190	-121.867619	29.190952	9.351143	40.081905	0.016668	88.700000
1091.190476	-82.888095	-310.119048	31.026667	-4.626381	66.043333	1061.285714	16.146095	-300.295238	-10.464667	-11.647571	-71.531905	743.614286	626.242857	-298.267619	16.556190	-14.567714	-55.880952	893.795238	-740.552381	-34.382857	34.567143	11.684190	47.823333	0.016396	88.700000
1115.571429	-78.743810	-309.204762	32.710000	-4.284905	69.986667	1080.476190	24.146476	-312.004762	-10.894667	-14.046810	-74.832381	767.923810	745.914286	-244.400952	20.990476	-19.432381	-65.568095	800.428571	-809.990476	-58.785714	37.750000	10.149000	54.577143	0.015808	88.700000
1154.761905	-72.126667	-314.019048	34.081429	-3.377762	74.616190	1097.000000	20.864762	-328.319048	-11.848095	-16.835238	-78.538571	775.638095	669.604762	-298.208571	19.682857	-22.064381	-71.398571	849.852381	-733.747619	-108.119048	41.240476	4.340381	62.097048	0.015122	88.700000
1202.380952	-61.380952	-307.966667	34.461429	-0.333095	79.997619	1119.095238	5.929429	-356.023810	-13.410476	-20.142857	-82.229048	922.961905	-64.857143	-300.077143	4.356667	-12.564857	-65.715714	926.347619	-117.357143	-187.406667	37.634286	21.455476	59.004429	0.014341	88.700000
1264.428571	-26.946667	-293.580952	34.179048	4.025905	85.829048	1151.428571	-11.580476	-393.309524	-16.120952	-23.913333	-86.670476	1231.409524	-1174.970476	-44.770476	-8.039524	4.443524	-48.782857	1154.876190	901.833333	-331.867143	26.121905	46.185238	26.996952	0.013402	88.700000
1346.857143	44.906190	-278.342857	31.542381	9.193048	92.878571	1210.047619	-30.360667	-418.566667	-20.705714	-28.366190	-91.125238	1567.190476	-1818.344286	100.126667	3.980000	7.826667	-42.660000	1586.619048	1579.933333	-518.138381	21.109048	57.213571	-1.076810	0.011906	88.700000
1409.571429	109.059524	-282.319048	25.394762	14.515571	101.112857	1281.190476	-70.251333	-429.157143	-29.509524	-32.209048	-94.735714	1657.166667	-1605.045714	100.612381	25.602857	2.018857	-48.293333	1850.466667	1669.233333	-534.842429	30.508571	65.395810	-7.805905	0.009803	88.700000
1422.809524	137.795714	-286.347619	18.786667	17.881524	109.990952	1329.714286	-141.283714	-435.033333	-38.675714	-34.550476	-98.932381	1564.142857	-524.931905	83.759524	49.659524	-21.389905	-68.072381	1883.952381	1002.642857	-299.251524	37.780000	60.917238	15.893476	0.008038	88.700000
1466.285714	136.576190	-293.152381	14.270952	18.151429	118.609524	1367.714286	-215.353810	-452.519048	-46.486667	-35.674286	-105.390476	1579.095238	724.468571	-54.339333	53.394762	-61.745810	-102.444286	1819.523810	9.328571	-123.475190	46.454286	14.723524	80.559429	0.006211	88.700000
1543.857143	99.520476	-304.257143	15.708571	17.320952	126.509524	1439.285714	-312.876190	-490.161905	-48.480476	-37.195714	-114.488571	1690.876190	1018.570000	-139.145762	6.442381	-66.676762	-127.280476	1596.742857	-322.261905	-443.480095	43.194762	-24.478667	148.546190	0.004480	88.700000
1623.190476	121.930476	-320.357143	27.790000	15.420286	133.114286	1538.428571	-437.552381	-519.300000	-42.255973	-38.986667	-127.598095	1500.809524	526.406667	46.853238	-43.965714	-51.015619	-129.964286	1280.676190	-208.580952	-654.371000	26.812381	-21.096667	167.204286	0.003338	88.700000
1753.571429	163.270000	-371.728571	43.423810	12.022190	141.252381	1652.428571	-516.871429	-522.257143	-31.557707	-40.797619	-142.985714	1259.090476	56.377143	46.835762	-51.978095	-52.143143	-130.116190	1052.157143	-198.743810	-570.271714	19.387619	-19.045048	163.320952	0.003321	88.700000
1834.761905	256.477143	-433.123810	65.332857	9.608524	148.195238	1770.142857	-669.723810	-503.938095	-17.315890	-42.839524	-157.971429	1041.076190	-197.989733	-287.008667	-48.126667	-41.464286	-122.942857	906.714286	-115.647619	-363.095238	26.594286	-2.341667	142.196190	0.002540	88.700000
1813.095238	446.361905	-474.685714	96.575714	8.069857	151.390476	1768.523810	-978.842857	-436.471429	6.259954	-45.326667	-171.252381	745.290476	-156.094543	-506.749095	-29.248571	-32.770048	-109.565714	825.666667	-134.779524	179.895238	28.800476	23.442190	114.049048	0.001204	88.700000
1739.619048	611.819048	-482.571429	131.947619	7.645524	147.876190	1667.857143	-1179.347619	-389.771429	35.057920	-46.833810	-184.119048	860.109524	63.936248	-549.430762	-11.708095	-40.276095	-103.150000	849.028571	-256.349524	397.395238	31.361905	13.162619	102.526190	-0.000449	88.700000
1630.428571	675.114286	-458.228571	162.324762	6.516190	139.357143	1584.142857	-1096.828571	-360.385714	65.591341	-45.848095	-197.090476	1118.461905	108.530829	-424.489048	-18.352762	-26.344429	-96.711429	985.561905	-132.267143	-28.966667	31.537143	-7.250381	99.104762	-0.001649	88.700000
1519.190476	540.990476	-389.523810	173.957143	2.336762	133.933333	1500.047619	-626.157143	-357.000000	82.745931	-40.905238	-211.671429	1040.185714	44.072010	-161.239048	-23.389286	-14.750190	-86.480952	1002.590476	-81.022381	-313.233333	26.206667	4.370714	87.152381	-0.001488	88.700000
1472.761905	211.833333	-395.238095	160.061905	-4.958095	136.166667	1489.190476	82.038095	-380.109524	75.748286	-35.135714	-222.785714	974.076190	9.451457	-13.170952	-12.672048	-24.161286	-79.148095	976.852381	-108.107143	-313.671429	25.244286	8.252952	77.788571	-0.000007	88.700000
1410.590476	-104.257143	-415.819048	129.675238	-12.782810	144.009524	1521.047619	611.404762	-394.000000	51.784905	-28.850952	-224.071429	1059.357143	14.060695	-151.124762	-7.374810	-27.849838	-74.340476	1038.971429	-72.868571	-337.188095	28.621905	11.344190	69.992381	-0.000355	88.700000
1264.428571	-26.946667	-293.580952	34.179048	4.025905	85.829048	1151.428571	-11.580476	-393.309524	-16.120952	-23.913333	-86.670476	1231.409524	-1174.970476	-44.770476	-8.039524	4.443524	-48.782857	1154.876190	901.833333	-331.867143	26.121905	46.185238	26.996952	0.000400	88.700000
1346.857143	44.906190	-278.342857	31.542381	9.193048	92.878571	1210.047619	-30.360667	-418.566667	-20.705714	-28.366190	-91.125238	1567.190476	-1818.344286	100.126667	3.980000	7.826667	-42.660000	1586.619048	1579.933333	-518.138381	21.109048	57.213571	-1.076810	0.003411	88.700000
1409.571429	109.059524	-282.319048	25.394762	14.515571	101.112857	1281.190476	-70.251333	-429.157143	-29.509524	-32.209048	-94.735714	1657.166667	-1605.045714	100.612381	25.602857	2.018857	-48.293333	1850.466667	1669.233333	-534.842429	30.508571	65.395810	-7.805905	0.004192	88.700000
1422.809524	137.795714	-286.347619	18.786667	17.881524	109.990952	1329.714286	-141.283714	-435.033333	-38.675714	-34.550476	-98.932381	1564.142857	-524.931905	83.759524	49.659524	-21.389905	-68.072381	1883.952381	1002.642857	-299.251524	37.780000	60.917238	15.893476	0.003245	88.700000
1466.285714	136.576190	-293.152381	14.270952	18.151429	118.609524	1367.714286	-215.353810	-452.519048	-46.486667	-35.674286	-105.390476	1579.095238	724.468571	-54.339333	53.394762	-61.745810	-102.444286	1819.523810	9.328571	-123.475190	46.454286	14.723524	80.559429	0.004631	88.700000
1543.857143	99.520476	-304.257143	15.708571	17.320952	126.509524	1439.285714	-312.876190	-490.161905	-48.480476	-37.195714	-114.488571	1690.876190	1018.570000	-139.145762	6.442381	-66.676762	-127.280476	1596.742857	-322.261905	-443.480095	43.194762	-24.478667	148.546190	0.007721	88.700000
1623.190476	121.930476	-320.357143	27.790000	15.420286	133.114286	1538.428571	-437.552381	-519.300000	-42.255973	-38.986667	-127.598095	1500.809524	526.406667	46.853238	-43.965714	-51.015619	-129.964286	1280.676190	-208.580952	-654.371000	26.812381	-21.096667	167.204286	0.010227	88.700000
1753.571429	163.270000	-371.728571	43.423810	12.022190	141.252381	1652.428571	-516.871429	-522.257143	-31.557707	-40.797619	-142.985714	1259.090476	56.377143	46.835762	-51.978095	-52.143143	-130.116190	1052.157143	-198.743810	-570.271714	19.387619	-19.045048	163.320952	0.011764	88.700000
1834.761905	256.477143	-433.123810	65.332857	9.608524	148.195238	1770.142857	-669.723810	-503.938095	-17.315890	-42.839524	-157.971429	1041.076190	-197.989733	-287.008667	-48.126667	-41.464286	-122.942857	906.714286	-115.647619	-363.095238	26.594286	-2.341667	142.196190	0.012253	88.700000
1813.095238	446.361905	-474.685714	96.575714	8.069857	151.390476	1768.523810	-978.842857	-436.471429	6.259954	-45.326667	-171.252381	745.290476	-156.094543	-506.749095	-29.248571	-32.770048	-109.565714	825.666667	-134.779524	179.895238	28.800476	23.442190	114.049048	0.012212	88.700000
